Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
C19584889,Missing,"04",1-1,SE Jusco w/ Mario atomic purple,JP eBay,2024-11-17
C19585106,CGB-JPN-2,?,?-?,SE Jusco w/ Mario atomic purple,JP eBay,2024-08-22
C19585469,CGB-JPN-2,"04",1-1,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C19587080,CGB-JPN-2,?,?-?,SE Jusco w/ Mario atomic purple,JP Sendico,2024-07-28
C19587543,CGB-JPN-2,"04",5-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C19587940,CGB-JPN-2,"04",3-1,SE Jusco w/ Mario atomic purple,US eBay,2024-07-17
C19588082,CGB-JPN-2,"04",5-2,SE Jusco w/ Mario atomic purple,JP J4U,2024-09-06
C19589802,CGB-JPN-2,"04",4-1,💟 Atomic purple,JP eBay,2025-01-13
C19589914,Missing,"04",12-2,💟 Atomic purple,JP eBay,2024-09-09
C19594529,CGB-JPN-2,"04",1-1,🩷 Berry,JP eBay,2022-08-11
C19596744,CGB-JPN-2,"04",1-?,🩷 Berry,US eBay,2025-10-28
C19599952,CGB-JPN-2,"04",1-1,🩷 Berry,JP eBay,2023-04-14
C19615894,CGB-JPN-2,"04",1-2,🩵 Teal,JO eBay,2024-08-28
C19627523,CGB-JPN-2,"04",?-2,💛 Dandelion,JP eBay,2024-11-13
C19652607,CGB-JPN-2,"04",10-1,💜 Grape,JP eBay,2025-01-09
C19653448,CGB-JPN-2,"04",1-2,💜 Grape,JP eBay,2022-07-26
C19654819,CGB-JPN-2,"04",1-1,💜 Grape,JP eBay,2024-08-29
C19657623,CGB-JPN-1,?,?-?,💜 Grape,UK eBay,2022-06-28
C19657960,CGB-JPN-2,"04",1-2,💜 Grape,JP eBay,2024-11-06
C19658985,CGB-JPN-2,"04",1-1,💜 Grape,JP eBay,2024-08-22
C19661993,Reproduction,"04",1-1,SE Ozzie! translucent green/yellow,DE eBay,2025-06-18
C19663396,CGB-JPN-2,"04",3-2,SE Ozzie! translucent green/yellow,AU eBay,2025-07-23
