Serial number,Model,PCB #,Panel (A-B),Shell,Source,Date
CG137447051,CGB-POB-JPN-1,"03",?-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-07
CG137582479,CGB-POB-JPN-1,"03",9-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-09-10
CG138075062,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,UK eBay,2024-08-09
CG138110220,Missing,"03",?-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-05-21
CG138284358,CGB-JPN-1,"03",1-2,SE Tommy Hilfiger yellow,US eBay,2024-12-23
CG138296726,CGB-JPN-1,?,?-?,SE Tommy Hilfiger yellow,US eBay,2024-08-04
CG138321718,CGB-POB-JPN-1,"03",2-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-10-08
CG138469014,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-19
CG138596963,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-07
CG138606952,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-12-24
CG138695956,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-23
CG139017023,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-05
CG139107120,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-11-17
CG139369184,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-28
CG139375666,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-20
CG139387065,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US YouTube,2024-07-12
CG139479487,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US YouTube,2024-07-12
CG139536838,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-30
CG139693432,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-29
CG139792890,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-06-19
CG139823716,CGB-POB-JPN-1,"05",?-?,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-28
CG139825925,CGB-POB-JPN-1,"03",11-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-19
CG139958616,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-12-06
CG140018736,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-30
CG140125687,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-12
CG140198063,CGB-POB-JPN-1,"04",7-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-08-10
CG140315965,CGB-POB-JPN-1,"03",1-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,UK eBay,2024-07-09
CG140317501,CGB-POB-JPN-1,"03",12-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-11-17
CG140349526,CGB-POB-JPN-1,"03",6-1,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US YouTube,2025-03-15
CG140353752,CGB-POB-JPN-1,"03",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-11-08
CG140365021,CGB-POB-JPN-1,"03",10-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-01-07
CG140704301,CGB-POB-JPN-1,"04",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-01-07
CG140805817,CGB-POB-JPN-1,"04",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2024-09-10
CG140942666,CGB-POB-JPN-1,"04",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-01-04
CG140948040,CGB-POB-JPN-1,"04",1-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,UK eBay,2024-07-23
CG140961032,CGB-POB-JPN-1,"04",10-2,💙 SE Pokemon w/ Togepi yellow/blue 🥚,US eBay,2025-06-06
